Salary1920,TwoP,TwoPA,TwoPP,eFGP,FT,FTA,FTP
289803,1.5,3,0.5,0.5,0.5,1.3,0.4
27556959,5.8,11.4,0.506,0.527,2.3,2.7,0.828
3500000,2.7,5,0.546,0.542,0.4,0.5,0.784
7333334,1.6,2.8,0.569,0.59,0.9,1,0.835
4.00E+06,5.3,8.4,0.634,0.625,1.3,2,0.632
4629630,1.6,3.6,0.453,0.489,0.8,1.1,0.722
2028594,0.4,1.2,0.348,0.523,0.4,0.6,0.667
1645357,1.9,3.5,0.537,0.508,1,1.3,0.8
1416852,1.4,3.2,0.441,0.447,0.4,0.6,0.75
1416852,0.7,1.9,0.339,0.328,0.4,0.6,0.765
30603448,4.2,8.8,0.485,0.519,2.8,3.4,0.837
7250000,0.8,1.7,0.467,0.528,0.8,1,0.789
1588231,0.1,0.5,0.2,0.615,0.3,0.4,0.75
30500000,3.8,7.2,0.522,0.528,2.6,3.6,0.727
12428571,1.5,3.2,0.475,0.545,1.1,1.3,0.854
1445697,1,2.2,0.465,0.471,0.3,0.4,0.714
3635760,6.1,13.1,0.468,0.493,4.1,5.1,0.806
4028400,1.6,3.5,0.461,0.48,1.2,1.4,0.882
8664928,3.4,6.7,0.506,0.553,0.8,1.1,0.763
1.50E+07,3.1,6.1,0.508,0.533,1.9,2.3,0.844
1588231,3.1,5.8,0.531,0.56,0.8,1,0.802
1737145,4.4,9,0.492,0.493,2.4,3.2,0.774
4444746,4.8,10.1,0.476,0.502,2.5,3,0.848
1911600,0.9,1.3,0.667,0.432,0,0.2,0
1618520,1,1.9,0.513,0.498,0.4,0.6,0.75
12727273,3.2,5.7,0.567,0.554,1.4,2,0.716
1882867,1.7,3.7,0.449,0.476,2.1,2.5,0.833
1737145,1.5,2.7,0.535,0.522,0.8,0.9,0.848
1678854,0.7,1.3,0.566,0.594,0.3,0.4,0.833
4855800,1.4,3.9,0.371,0.395,0.5,0.7,0.767
1.20E+07,5.8,11.1,0.523,0.51,3.9,5.1,0.773
1618520,0.7,1.2,0.565,0.513,0.4,0.7,0.615
1702486,3.6,6.1,0.591,0.587,1,1.5,0.663
1416852,1.4,3,0.475,0.46,0.7,0.9,0.787
2530680,1.8,4,0.464,0.445,1.6,2.2,0.728
2.10E+07,4.9,10.3,0.47,0.486,2.9,3.9,0.73
11667885,1.9,3.1,0.604,0.563,1.9,2.3,0.822
1618520,1.2,2,0.569,0.574,0.4,0.5,0.762
2028594,1.5,2.8,0.548,0.511,0.4,0.5,0.81
2907143,3,6.2,0.489,0.504,1.9,2.4,0.779
25102511,1.6,3.5,0.443,0.453,0.9,1,0.88
38506482,3,6.3,0.479,0.508,3,3.5,0.862
8.00E+06,3.5,7.3,0.476,0.475,1.3,1.8,0.743
1445697,0.7,1.5,0.481,0.425,1.1,1.2,0.864
14041096,3.2,5.3,0.602,0.595,1.4,2.4,0.561
10259375,3.3,4.7,0.699,0.637,2.5,3.3,0.772
10116576,2.1,3.8,0.543,0.568,1,1.3,0.827
3481986,2.5,5.1,0.498,0.545,1.7,2.1,0.819
371758,2.3,4,0.574,0.554,1,1.4,0.71
91557,0.9,2.1,0.441,0.525,0.9,1.3,0.694
1.80E+07,6.9,12.2,0.564,0.555,4.9,6.7,0.731
13486300,2.8,5.6,0.502,0.557,3,3.4,0.894
10100000,3.5,7.8,0.458,0.492,2.7,3.2,0.861
1416852,0.5,0.7,0.727,0.5,0.3,0.4,0.667
1882867,1.2,2.4,0.491,0.472,0.7,0.9,0.8
3567720,0.8,1.6,0.491,0.482,0.2,0.3,0.667
2564753,2.7,6.3,0.428,0.464,0.5,0.8,0.639
7317073,6.1,11.9,0.509,0.518,2.7,3.1,0.856
12500000,2.8,5.7,0.484,0.534,1.6,1.8,0.875
19894737,1.8,4.2,0.422,0.477,0.9,1.2,0.785
16190476,3.2,7,0.454,0.458,2.9,3.4,0.855
27285000,5.2,10.9,0.482,0.512,2,2.5,0.78
3529555,5.5,9.2,0.592,0.596,2.8,3.9,0.715
1737145,6,10,0.6,0.583,4.3,5.3,0.81
1.00E+07,2.4,4.6,0.524,0.545,1.6,2,0.819
15500000,4.2,9.4,0.45,0.47,2.4,2.9,0.819
2564753,0.7,1.4,0.521,0.591,0.3,0.4,0.636
4764960,4.9,11.1,0.44,0.48,2.6,3.1,0.839
2351839,5.5,9.1,0.602,0.591,3,3.8,0.785
8113930,6.8,12.1,0.566,0.563,3.3,5.4,0.6
2149560,0.9,1.7,0.529,0.524,0.5,0.8,0.563
12553471,1.4,2.8,0.511,0.533,1.3,1.6,0.806
5853659,2.9,6.3,0.455,0.464,0.8,1.1,0.758
3058800,1.3,3,0.444,0.5,1,1.3,0.75
11392857,1.1,2.1,0.522,0.564,0.5,0.6,0.881
1897800,1.2,2.5,0.466,0.492,0.7,1,0.711
2.00E+06,0.7,1.6,0.405,0.398,0.7,1,0.625
7830000,4.4,9.2,0.483,0.506,2.5,2.9,0.855
1.90E+07,3.4,7.4,0.453,0.465,2.9,3.6,0.804
5.00E+06,1.8,3,0.603,0.598,0.8,1.2,0.737
2320044,1.8,4.7,0.393,0.404,1.4,2.3,0.63
838464,0.5,1.3,0.353,0.391,0.3,0.4,0.636
262152,1.2,2.6,0.475,0.452,0.6,0.8,0.75
32742000,5.3,10.3,0.516,0.553,1.7,2,0.816
183115,0.2,0.5,0.412,0.378,0.4,0.5,0.735
